,edge,includes,includedby,sum
140,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioEngine-inl.cpp,0,16,16
561,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/cutils/log.h,12,0,12
264,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioPlayerProvider.cpp,0,10,10
115,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/include/AudioEngine.h,7,3,10
60,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioDecoder.h,6,3,9
683,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/AudioEngine.cpp,0,8,8
875,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/OpenSLHelper.h,7,1,8
854,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioResampler.h,5,2,7
466,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/AudioCache.cpp,0,6,6
592,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioMixer.h,2,4,6
537,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/UrlAudioPlayer.h,3,3,6
51,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioDecoderProvider.cpp,0,6,6
524,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/PcmData.h,6,0,6
694,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/Track.h,3,3,6
366,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/AudioDecoderManager.cpp,0,6,6
114,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/AudioEngine-win32.cpp,0,6,6
824,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/AudioCache.h,3,3,6
432,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/scripting/lua-bindings/manual/audioengine/lua_cocos2dx_audioengine_manual.cpp,0,6,6
848,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/audio.h,5,1,6
235,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/linux/AudioEngine-linux.h,2,3,5
265,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioPlayerProvider.h,2,3,5
651,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/audio_utils/include/audio_utils/primitives.h,5,0,5
593,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioBufferProvider.h,4,1,5
