edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/vec2.hpp,10,10,20
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/vector_bool2.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/source/editor/source/editor_ui.cpp,19,0,19
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/global/global_context.h,0,19,19
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/matrix_integer.hpp,9,1,10
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/mat4x4.hpp,4,13,17
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext.hpp,212,0,212
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/orthonormalize.hpp,4,1,5
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/quaternion.hpp,6,4,10
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/constants.hpp,2,9,11
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/mat3x3.hpp,4,13,17
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/gradient_paint.hpp,3,1,4
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/gradient_paint.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/vector_bool4.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/component_wise.hpp,3,3,6
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/component_wise.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/bitfield.hpp,7,2,9
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/qualifier.hpp,1,33,34
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_double3x4_precision.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/vector_double2.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_vec2.hpp,4,16,20
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/texture.hpp,4,0,4
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/texture.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/mat3x4.hpp,4,10,14
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_double3x4.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat3x3.hpp,2,7,9
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_vec3.hpp,4,18,22
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/matrix_inverse.hpp,6,1,7
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/setup.hpp,1,33,34
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/matrix_access.hpp,2,1,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/matrix_access.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/spdlog/include/spdlog/sinks/base_sink.h,1,1,2
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/spdlog/include/spdlog/sinks/base_sink-inl.h,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_int4x4.hpp,1,1,2
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat3x4.hpp,3,5,8
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat3x4.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/color/color.h,2,1,3
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/meta/reflection/reflection.h,1,32,33
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/ulp.hpp,5,1,6
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/scalar_int_sized.hpp,1,19,20
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_float4x2_precision.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/quaternion.hpp,17,12,29
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/quaternion_double_precision.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/animation/node.cpp,2,0,2
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/math/math.h,1,12,13
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/matrix_transform.hpp,8,5,13
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_projection.hpp,5,2,7
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/physics/jolt/utils.cpp,2,0,2
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/resource/res_type/components/rigid_body.h,4,7,11
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/render/passes/main_camera_pass.h,6,4,10
