edge,includes,includedby,sum
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUTextureAnimatorTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUScriptCompiler.h,1,68,69
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/cocos2d.h,161,1,162
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/CCRenderCommand.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPURandomiserTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPURandomiser.h,1,3,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/GUI/CCControlExtension/CCControlHuePicker.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/GUI/CCControlExtension/CCControl.h,2,12,14
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUDoScaleEventHandlerTranslator.cpp,4,0,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUParticleSystem3D.h,1,132,133
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUAffectorManager.cpp,27,0,27
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUForceFieldAffector.h,2,3,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/performance-tests/Classes/tests/PerformanceNodeChildrenTest.h,1,2,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/performance-tests/Classes/tests/BaseTest.h,2,14,16
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/2d/CCTextFieldTTF.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUScriptParser.cpp,1,0,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUScriptParser.h,1,2,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUTextureRotatorTranslator.cpp,4,0,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUDynamicAttributeTranslator.h,3,54,57
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUDoPlacementParticleEventHandlerTranslator.cpp,4,0,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUDynamicAttribute.h,1,62,63
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/TouchesTest/Ball.cpp,3,0,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/TouchesTest/Paddle.h,0,3,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUEmitterManager.h,10,3,13
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUPositionEmitterTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUColorAffectorTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUScriptTranslator.h,1,69,70
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUOnCountObserverTranslator.cpp,4,0,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPURendererTranslator.h,5,2,7
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUBeamRender.h,4,2,6
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUAffectorManager.h,28,3,31
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUCollisionAvoidanceAffectorTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/CCRenderer.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUEmitterTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/backend/metal/BufferManager.h,1,0,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/backend/Macros.h,0,18,18
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/2d/CCTransitionProgress.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/base/CCProfiling.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/CCTexture2D.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUOnVelocityObserver.cpp,2,0,2
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUOnVelocityObserver.h,1,3,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/performance-tests/Classes/tests/PerformanceAllocTest.h,1,2,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUJetAffector.cpp,2,0,2
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/BugsTest/BugsTest.cpp,16,0,16
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/BugsTest/Bug-15776.h,1,2,3
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUBoxEmitterTranslator.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUTextureAnimator.cpp,2,0,2
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/GUI/CCControlExtension/CCInvocation.h,3,6,9
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/GUI/CCControlExtension/CCControlSlider.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUGravityAffectorTranslator.cpp,4,0,4
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/cocos/renderer/CCTextureCache.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UIRichTextTest/UIRichTextTest.cpp,1,0,1
/media/ullmann/HDDGabriel/research/engines/cocos2d-x/tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UIRichTextTest/UIRichTextTest.h,1,2,3
