edge,includes,includedby,sum
/media/ullmann/HDDGabriel/research/engines/gameplay/tools/encoder/src/Material.h,3,2,5
/media/ullmann/HDDGabriel/research/engines/gameplay/tools/encoder/src/Constants.h,0,3,3
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/Platform.h,8,9,17
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/Touch.h,0,9,9
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/curl-7.39.0/src/tool_easysrc.h,1,3,4
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/curl-7.39.0/src/tool_setup.h,1,78,79
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/src/BulletCollision/NarrowPhaseCollision/btGjkEpaPenetrationDepthSolver.cpp,1,0,1
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/src/BulletCollision/NarrowPhaseCollision/btGjkEpaPenetrationDepthSolver.h,1,1,2
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/curl-7.39.0/lib/ftp.c,33,0,33
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/curl-7.39.0/lib/fileinfo.h,0,4,4
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/AIAgent.cpp,3,0,3
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/AIAgent.h,3,6,9
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/src/BulletCollision/CollisionShapes/btMultimaterialTriangleMeshShape.h,2,0,2
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/src/BulletCollision/CollisionShapes/btMaterial.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/Properties.h,4,24,28
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/Base.h,2,116,118
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/freetype-2.4.5/src/sfnt/sfnt.c,10,0,10
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/freetype-2.4.5/src/sfnt/sfntpic.c,1,1,2
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Extras/CDTestFramework/Opcode/OPC_TreeCollider.cpp,3,0,3
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Extras/CDTestFramework/Opcode/OPC_TriTriOverlap.h,0,1,1
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Extras/ConvexDecomposition/ConvexDecomposition.cpp,12,0,12
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Extras/ConvexDecomposition/bestfit.h,0,5,5
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Demos/Box2dDemo/Win32Box2dDemo.cpp,1,0,1
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Demos/Box2dDemo/Box2dDemo.h,0,3,3
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/zlib-1.2.8/inftrees.c,2,0,2
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/zlib-1.2.8/inftrees.h,0,4,4
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/lua-5.2.3/src/ldebug.c,13,0,13
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/lua-5.2.3/src/lfunc.h,1,9,10
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/lua/lua_PhysicsSocketConstraint.cpp,1,0,1
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay/src/lua/lua_PhysicsSocketConstraint.h,0,2,2
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Demos/AllBulletDemos/DemoEntries.cpp,17,0,17
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/bullet-2.82-r2704/Demos/RagdollDemo/RagdollDemo.h,0,3,3
/media/ullmann/HDDGabriel/research/engines/gameplay/gameplay-deps/curl-7.39.0/lib/hash.c,5,0,5
