edge,includes,includedby,sum
/media/ullmann/HDDGabriel/engines/godot/drivers/png/resource_saver_png.cpp,0,5,5
/media/ullmann/HDDGabriel/engines/godot/scene/resources/texture.h,53,10,63
/media/ullmann/HDDGabriel/engines/godot/editor/plugins/script_editor_plugin.h,15,16,31
/media/ullmann/HDDGabriel/engines/godot/scene/resources/text_file.h,3,2,5
/media/ullmann/HDDGabriel/engines/godot/thirdparty/freetype/src/type42/t42objs.c,1,3,4
/media/ullmann/HDDGabriel/engines/godot/thirdparty/freetype/src/type42/t42error.h,3,0,3
/media/ullmann/HDDGabriel/engines/godot/modules/bullet/register_types.cpp,0,4,4
/media/ullmann/HDDGabriel/engines/godot/modules/bullet/register_types.h,2,0,2
/media/ullmann/HDDGabriel/engines/godot/drivers/gles3/rasterizer_scene_gles3.cpp,0,7,7
/media/ullmann/HDDGabriel/engines/godot/servers/camera/camera_feed.h,7,4,11
/media/ullmann/HDDGabriel/engines/godot/thirdparty/opus/celt/cwrs.h,5,4,9
/media/ullmann/HDDGabriel/engines/godot/thirdparty/opus/celt/entdec.h,8,1,9
/media/ullmann/HDDGabriel/engines/godot/scene/3d/audio_stream_player_3d.h,3,6,9
/media/ullmann/HDDGabriel/engines/godot/scene/3d/spatial_velocity_tracker.h,3,1,4
/media/ullmann/HDDGabriel/engines/godot/editor/filesystem_dock.h,9,19,28
/media/ullmann/HDDGabriel/engines/godot/editor/dependency_editor.h,4,4,8
/media/ullmann/HDDGabriel/engines/godot/thirdparty/freetype/src/autofit/aftypes.h,8,5,13
/media/ullmann/HDDGabriel/engines/godot/thirdparty/freetype/src/autofit/afcover.h,2,0,2
/media/ullmann/HDDGabriel/engines/godot/editor/spatial_editor_gizmos.cpp,0,38,38
/media/ullmann/HDDGabriel/engines/godot/scene/resources/ray_shape.h,5,1,6
/media/ullmann/HDDGabriel/engines/godot/scene/register_scene_types.cpp,0,185,185
/media/ullmann/HDDGabriel/engines/godot/scene/resources/convex_polygon_shape_2d.h,7,1,8
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/btBulletCollisionAll.cpp,0,97,97
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/BulletCollision/NarrowPhaseCollision/btPersistentManifold.cpp,1,1,2
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/BulletInverseDynamics/details/MultiBodyTreeImpl.hpp,2,2,4
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/BulletInverseDynamics/MultiBodyTree.hpp,3,2,5
/media/ullmann/HDDGabriel/engines/godot/editor/editor_translation.cpp,0,6,6
/media/ullmann/HDDGabriel/engines/godot/editor/doc_translations.gen.h,1,0,1
/media/ullmann/HDDGabriel/engines/godot/editor/editor_file_dialog.cpp,0,13,13
/media/ullmann/HDDGabriel/engines/godot/core/os/keyboard.h,88,1,89
/media/ullmann/HDDGabriel/engines/godot/thirdparty/embree/common/sys/intrinsics.h,9,2,11
/media/ullmann/HDDGabriel/engines/godot/thirdparty/embree/common/sys/platform.h,22,0,22
/media/ullmann/HDDGabriel/engines/godot/thirdparty/embree/common/simd/simd.h,4,4,8
/media/ullmann/HDDGabriel/engines/godot/thirdparty/embree/common/math/math.h,18,4,22
/media/ullmann/HDDGabriel/engines/godot/editor/plugins/animation_tree_editor_plugin.h,6,8,14
/media/ullmann/HDDGabriel/engines/godot/scene/gui/graph_edit.h,9,8,17
/media/ullmann/HDDGabriel/engines/godot/scene/resources/surface_tool.h,19,2,21
/media/ullmann/HDDGabriel/engines/godot/thirdparty/misc/mikktspace.h,3,0,3
/media/ullmann/HDDGabriel/engines/godot/scene/2d/collision_shape_2d.h,3,2,5
/media/ullmann/HDDGabriel/engines/godot/scene/resources/shape_2d.h,12,1,13
/media/ullmann/HDDGabriel/engines/godot/modules/mono/editor/godotsharp_export.cpp,0,8,8
/media/ullmann/HDDGabriel/engines/godot/modules/mono/editor/godotsharp_export.h,2,4,6
/media/ullmann/HDDGabriel/engines/godot/thirdparty/vhacd/src/VHACD-ASYNC.cpp,0,1,1
/media/ullmann/HDDGabriel/engines/godot/thirdparty/vhacd/public/VHACD.h,3,0,3
/media/ullmann/HDDGabriel/engines/godot/platform/android/java_class_wrapper.cpp,0,3,3
/media/ullmann/HDDGabriel/engines/godot/platform/android/string_android.h,7,2,9
/media/ullmann/HDDGabriel/engines/godot/thirdparty/opus/celt/static_modes_fixed.h,0,3,3
/media/ullmann/HDDGabriel/engines/godot/thirdparty/opus/celt/rate.h,11,2,13
/media/ullmann/HDDGabriel/engines/godot/thirdparty/etc2comp/EtcDifferentialTrys.cpp,0,2,2
/media/ullmann/HDDGabriel/engines/godot/thirdparty/etc2comp/EtcDifferentialTrys.h,3,1,4
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/LinearMath/btModifiedGramSchmidt.h,0,2,2
/media/ullmann/HDDGabriel/engines/godot/thirdparty/bullet/LinearMath/btAlignedObjectArray.h,9,2,11
/media/ullmann/HDDGabriel/engines/godot/thirdparty/embree/kernels/bvh/bvh_collider.cpp,0,2,2
